iter	Passed	Remaining
644	5040	2774
645	5046	2765
646	5051	2756
647	5056	2746
648	5061	2737
649	5066	2728
650	5071	2718
651	5076	2709
652	5082	2700
653	5087	2691
654	5093	2682
655	5098	2673
656	5103	2664
657	5109	2655
658	5114	2646
659	5119	2637
660	5125	2628
661	5129	2619
662	5135	2610
663	5140	2601
664	5145	2592
665	5150	2582
666	5155	2574
667	5161	2565
668	5166	2556
669	5171	2547
670	5176	2538
671	5181	2529
672	5187	2520
673	5192	2511
674	5198	2502
675	5203	2494
676	5209	2485
677	5214	2476
678	5219	2467
679	5225	2459
680	5231	2450
681	5236	2441
682	5241	2432
683	5246	2423
684	5251	2415
685	5256	2406
686	5262	2397
687	5267	2388
688	5277	2381
689	5287	2375
690	5298	2369
691	5307	2362
692	5312	2353
693	5318	2344
694	5323	2335
695	5328	2327
696	5333	2318
697	5338	2309
698	5344	2301
699	5349	2292
700	5354	2283
701	5360	2275
702	5365	2266
703	5373	2259
704	5380	2251
705	5385	2242
706	5392	2234
707	5403	2228
708	5413	2221
709	5422	2214
710	5432	2208
711	5442	2201
712	5461	2198
713	5471	2191
714	5478	2183
715	5484	2175
716	5490	2167
717	5496	2158
718	5501	2150
719	5506	2141
720	5512	2133
721	5516	2124
722	5522	2115
723	5527	2107
724	5533	2098
725	5538	2090
726	5543	2081
727	5548	2072
728	5553	2064
729	5558	2055
730	5564	2047
731	5569	2039
732	5574	2030
733	5580	2022
734	5585	2013
735	5590	2005
736	5595	1996
737	5600	1988
738	5605	1979
739	5610	1971
740	5615	1962
741	5620	1954
742	5625	1945
743	5630	1937
744	5635	1928
745	5640	1920
746	5645	1911
747	5650	1903
748	5655	1895
749	5660	1886
750	5666	1878
751	5670	1870
752	5675	1861
753	5681	1853
754	5685	1844
755	5690	1836
756	5695	1828
757	5700	1819
758	5705	1811
759	5711	1803
760	5716	1795
761	5721	1786
762	5726	1778
763	5731	1770
764	5736	1762
765	5741	1753
766	5746	1745
767	5751	1737
768	5757	1729
769	5762	1721
770	5766	1712
771	5771	1704
772	5776	1696
773	5781	1688
774	5786	1680
775	5795	1672
776	5805	1666
777	5816	1659
778	5824	1652
779	5829	1644
780	5834	1636
781	5840	1628
782	5845	1620
783	5850	1611
784	5855	1603
785	5864	1596
786	5870	1588
787	5875	1580
788	5880	1572
789	5887	1564
790	5892	1556
791	5897	1548
792	5902	1540
793	5907	1532
794	5913	1524
795	5918	1516
796	5923	1508
797	5928	1500
798	5933	1492
799	5938	1484
800	5944	1476
801	5949	1468
802	5954	1460
803	5960	1453
804	5999	1453
805	6009	1446
806	6014	1438
807	6019	1430
808	6025	1422
809	6029	1414
810	6034	1406
811	6039	1398
812	6044	1390
813	6049	1382
814	6054	1374
815	6059	1366
816	6065	1358
817	6070	1350
818	6075	1342
819	6080	1334
820	6085	1326
821	6089	1318
822	6094	1310
823	6099	1302
824	6104	1294
825	6109	1286
826	6114	1279
827	6119	1271
828	6124	1263
829	6129	1255
830	6133	1247
831	6138	1239
832	6143	1231
833	6148	1223
834	6154	1216
835	6158	1208
836	6163	1200
837	6168	1192
838	6173	1184
839	6179	1177
840	6184	1169
841	6189	1161
842	6194	1153
843	6200	1146
844	6205	1138
845	6210	1130
846	6215	1122
847	6220	1115
848	6226	1107
849	6231	1099
850	6236	1091
851	6241	1084
852	6246	1076
853	6251	1068
854	6256	1060
855	6260	1053
856	6265	1045
857	6270	1037
858	6275	1030
859	6280	1022
860	6286	1014
861	6291	1007
862	6296	999
863	6303	992
864	6312	985
865	6322	978
866	6334	971
867	6340	964
868	6349	957
869	6355	949
870	6359	941
871	6365	934
872	6370	926
873	6375	919
874	6380	911
875	6385	903
876	6390	896
877	6395	888
878	6403	881
879	6416	874
880	6426	868
881	6439	861
882	6452	855
883	6462	848
884	6472	841
885	6481	833
886	6486	826
887	6492	818
888	6498	811
889	6503	803
890	6508	796
891	6513	788
892	6518	781
893	6523	773
894	6529	765
895	6534	758
896	6538	750
897	6543	743
898	6549	735
899	6554	728
900	6559	720
901	6564	713
902	6569	705
903	6575	698
904	6580	690
905	6585	683
906	6591	675
907	6596	668
908	6601	660
909	6606	653
910	6611	645
911	6616	638
912	6621	630
913	6626	623
914	6631	616
915	6636	608
916	6642	601
917	6648	593
918	6653	586
919	6658	578
920	6663	571
921	6668	564
922	6674	556
923	6679	549
924	6683	541
925	6689	534
926	6694	527
927	6699	519
928	6705	512
929	6710	505
930	6715	497
931	6720	490
932	6725	482
933	6730	475
934	6734	468
935	6740	460
936	6743	453
937	6748	446
938	6752	438
939	6758	431
940	6763	424
941	6768	416
942	6773	409
943	6778	402
944	6783	394
945	6789	387
946	6793	380
947	6797	372
948	6802	365
949	6808	358
950	6813	351
951	6821	343
952	6831	336
953	6840	329
954	6853	322
955	6860	315
956	6865	308
957	6869	301
958	6873	293
959	6878	286
960	6883	279
961	6888	272
962	6895	264
963	6900	257
964	6904	250
965	6910	243
966	6914	235
967	6919	228
968	6924	221
969	6929	214
970	6934	207
971	6940	199
972	6945	192
973	6951	185
